GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,5,285,HOU,,113,GSW,S. Curry makes 2-pt layup from 2 ft (assist by A. Iguodala),115,S. Curry - GSW,2-pt layup,make,2,A. Iguodala - GSW
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,5,251,HOU,,115,GSW,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Iguodala),119,S. Curry - GSW,3-pt jump shot,make,24,A. Iguodala - GSW
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,5,153,HOU,,118,GSW,S. Curry misses 3-pt jump shot from 25 ft,121,S. Curry - GSW,3-pt jump shot,miss,25,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,5,109,HOU,,118,GSW,S. Curry misses 3-pt jump shot from 25 ft,121,S. Curry - GSW,3-pt jump shot,miss,25,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,6,247,HOU,,123,GSW,S. Curry misses 2-pt layup from 2 ft,123,S. Curry - GSW,2-pt layup,miss,2,
regular,Oracle Arena Oakland California,December 20 2016,10:30 PM,GSW,1,493,UTA,,2,GSW,S. Curry misses 2-pt jump shot from 20 ft,2,S. Curry - GSW,2-pt jump shot,miss,20,
regular,Oracle Arena Oakland California,December 20 2016,10:30 PM,GSW,1,465,UTA,,2,GSW,S. Curry misses 3-pt jump shot from 23 ft,4,S. Curry - GSW,3-pt jump shot,miss,23,
regular,Oracle Arena Oakland California,December 20 2016,10:30 PM,GSW,1,262,UTA,,8,GSW,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),11,S. Curry - GSW,3-pt jump shot,make,26,K. Durant - GSW
regular,Oracle Arena Oakland California,December 20 2016,10:30 PM,GSW,1,208,UTA,,10,GSW,S. Curry makes 2-pt layup from 1 ft,13,S. Curry - GSW,2-pt layup,make,1,
regular,Oracle Arena Oakland California,December 20 2016,10:30 PM,GSW,1,171,UTA,,10,GSW,S. Curry misses 3-pt jump shot from 26 ft,13,S. Curry - GSW,3-pt jump shot,miss,26,
regular,Oracle Arena Oakland California,December 20 2016,10:30 PM,GSW,1,109,UTA,,12,GSW,S. Curry makes 2-pt layup from 2 ft,17,S. Curry - GSW,2-pt layup,make,2,
regular,Oracle Arena Oakland California,December 20 2016,10:30 PM,GSW,1,60,UTA,,12,GSW,S. Curry misses 2-pt layup from 3 ft,17,S. Curry - GSW,2-pt layup,miss,3,
